253,IfcPropertySingleValue,4,null,4
254,IfcPropertySingleValue,4,null,1
255,IfcPropertySingleValue,4,null,4
256,IfcPropertySingleValue,4,null,4
257,IfcPropertySingleValue,4,null,4
258,IfcPropertySingleValue,4,null,3
259,IfcPropertySingleValue,4,null,4
260,IfcPropertySingleValue,4,null,3
261,IfcPropertySingleValue,4,null,1
262,IfcPropertySingleValue,4,null,1
263,IfcPropertySingleValue,4,null,1
264,IfcPropertySingleValue,4,null,3
265,IfcPropertySingleValue,4,null,3
266,IfcPropertySingleValue,4,null,6
267,IfcPropertySingleValue,4,null,3
268,IfcPropertySingleValue,4,null,3
269,IfcPropertySingleValue,4,null,1
270,IfcPropertySingleValue,4,null,1
271,IfcPropertySingleValue,4,null,1
272,IfcPropertySingleValue,4,null,1
273,IfcPropertySingleValue,4,null,2
274,IfcPropertySingleValue,4,null,2
275,IfcPropertySingleValue,4,null,2
276,IfcPropertySingleValue,4,null,2
277,IfcPropertySingleValue,4,null,1
278,IfcPropertySingleValue,4,null,2
279,IfcPropertySingleValue,4,null,2
280,IfcPropertySingleValue,4,null,1
281,IfcPropertySingleValue,4,null,2
282,IfcPropertySingleValue,4,null,2
283,IfcPropertySingleValue,4,null,1
284,IfcPropertySet,5,6,1
289,IfcRelDefinesByProperties,6,3,null
293,IfcPropertySet,5,4,1
295,IfcRelDefinesByProperties,6,3,null
298,IfcPropertySet,5,4,1
300,IfcRelDefinesByProperties,6,3,null
303,IfcPropertySet,5,2,1
305,IfcRelDefinesByProperties,6,3,null
308,IfcPropertySet,5,12,1
310,IfcRelDefinesByProperties,6,3,null
313,IfcPropertySet,5,3,1
315,IfcPropertySet,5,6,1
317,IfcPropertySet,5,2,1
319,IfcPropertySet,5,2,1
321,IfcPropertySet,5,5,1
323,IfcPropertySet,5,4,1
332,IfcPropertySingleValue,4,null,3
333,IfcPropertySingleValue,4,null,3
334,IfcPropertySingleValue,4,null,4
335,IfcPropertySingleValue,4,null,4
336,IfcPropertySingleValue,4,null,1
337,IfcPropertySet,5,6,1
339,IfcRelDefinesByProperties,6,3,null
342,IfcClassification,4,null,null
344,IfcCartesianPoint,1,null,1
346,IfcAxis2Placement3D,3,3,1
347,IfcLocalPlacement,2,2,1
348,IfcCartesianPoint,1,null,1
350,IfcPolyline,1,2,1
352,IfcShapeRepresentation,4,2,2
354,IfcCartesianPoint,1,null,1
356,IfcAxis2Placement2D,2,2,1
357,IfcRectangleProfileDef,5,1,1
358,IfcAxis2Placement3D,3,1,1
359,IfcExtrudedAreaSolid,4,3,2
360,IfcStyledItem,3,2,null
363,IfcShapeRepresentation,4,2,2
365,IfcProductDefinitionShape,3,2,1
367,IfcWallStandardCase,8,3,11
370,IfcMaterialLayerSetUsage,4,1,1
371,IfcPropertySingleValue,4,null,1
372,IfcPropertySingleValue,4,null,1
373,IfcPropertySingleValue,4,null,1
374,IfcPropertySingleValue,4,null,1
375,IfcPropertySet,5,6,1
377,IfcRelDefinesByProperties,6,3,null
381,IfcPropertySet,5,4,1
383,IfcRelDefinesByProperties,6,3,null
386,IfcPropertySet,5,4,1
388,IfcRelDefinesByProperties,6,3,null
391,IfcPropertySet,5,2,1
393,IfcRelDefinesByProperties,6,3,null
396,IfcPropertySet,5,12,1
398,IfcRelDefinesByProperties,6,3,null
401,IfcPropertySingleValue,4,null,1
402,IfcPropertySet,5,6,1
404,IfcRelDefinesByProperties,6,3,null
407,IfcCartesianPoint,1,null,1
409,IfcAxis2Placement3D,3,3,1
410,IfcLocalPlacement,2,2,1
411,IfcCartesianPoint,1,null,1
413,IfcPolyline,1,2,1
415,IfcShapeRepresentation,4,2,2
417,IfcCartesianPoint,1,null,1
419,IfcAxis2Placement2D,2,2,1
420,IfcRectangleProfileDef,5,1,1
421,IfcAxis2Placement3D,3,1,1
422,IfcExtrudedAreaSolid,4,3,2
423,IfcStyledItem,3,2,null
426,IfcShapeRepresentation,4,2,2
428,IfcProductDefinitionShape,3,2,1
430,IfcWallStandardCase,8,3,12
433,IfcMaterialLayer,3,1,1
434,IfcMaterialLayer,3,1,1
435,IfcMaterialLayer,3,1,1
436,IfcMaterialLayer,3,1,1
437,IfcMaterialLayerSet,2,4,2
443,IfcMaterialLayerSetUsage,4,1,1
444,IfcWallType,10,7,2
445,IfcPropertySingleValue,4,null,1
446,IfcPropertySingleValue,4,null,1
447,IfcPropertySingleValue,4,null,1
448,IfcPropertySingleValue,4,null,1
449,IfcPropertySingleValue,4,null,1
450,IfcPropertySingleValue,4,null,1
451,IfcPropertySingleValue,4,null,1
452,IfcPropertySingleValue,4,null,1
453,IfcPropertySingleValue,4,null,1
454,IfcPropertySingleValue,4,null,1
455,IfcPropertySingleValue,4,null,1
456,IfcPropertySingleValue,4,null,1
457,IfcPropertySingleValue,4,null,1
458,IfcPropertySingleValue,4,null,1
459,IfcPropertySingleValue,4,null,1
460,IfcPropertySingleValue,4,null,1
461,IfcPropertySingleValue,4,null,1
462,IfcPropertySingleValue,4,null,1
463,IfcPropertySingleValue,4,null,1
464,IfcPropertySingleValue,4,null,1
465,IfcPropertySingleValue,4,null,1
466,IfcPropertySingleValue,4,null,1
467,IfcPropertySingleValue,4,null,1
468,IfcPropertySingleValue,4,null,1
469,IfcPropertySet,5,6,1
471,IfcRelDefinesByProperties,6,3,null
475,IfcPropertySet,5,4,1
477,IfcRelDefinesByProperties,6,3,null
480,IfcPropertySet,5,4,1
482,IfcRelDefinesByProperties,6,3,null
485,IfcPropertySet,5,7,1
487,IfcRelDefinesByProperties,6,3,null
490,IfcPropertySet,5,2,1
492,IfcRelDefinesByProperties,6,3,null
495,IfcPropertySet,5,12,1
497,IfcRelDefinesByProperties,6,3,null
500,IfcPropertySet,5,3,1
502,IfcPropertySet,5,6,1
504,IfcPropertySet,5,2,1
506,IfcPropertySet,5,2,1
508,IfcPropertySet,5,5,1
510,IfcPropertySet,5,4,1
519,IfcPropertySingleValue,4,null,1
520,IfcPropertySingleValue,4,null,1
521,IfcPropertySingleValue,4,null,1
522,IfcPropertySet,5,6,1
524,IfcRelDefinesByProperties,6,3,null
527,IfcCartesianPoint,1,null,1
529,IfcAxis2Placement3D,3,3,1
530,IfcLocalPlacement,2,2,1
531,IfcCartesianPoint,1,null,1
533,IfcPolyline,1,2,1
535,IfcShapeRepresentation,4,2,2
537,IfcCartesianPoint,1,null,1
539,IfcAxis2Placement2D,2,2,1
540,IfcRectangleProfileDef,5,1,1
541,IfcAxis2Placement3D,3,1,1
542,IfcExtrudedAreaSolid,4,3,2
543,IfcStyledItem,3,2,null
